,time,bid1,bsize1,ask1,asize1,bid2,bsize2,ask2,asize2,bid3,bsize3,ask3,asize3,bid4,bsize4,ask4,asize4,bid5,bsize5,ask5,asize5,bid6,bsize6,ask6,asize6,bid7,bsize7,ask7,asize7,bid8,bsize8,ask8,asize8,bid9,bsize9,ask9,asize9,bid10,bsize10,ask10,asize10
0,34200000,9.96,4000,9.97,73699,9.95,19500,9.98,45600,9.94,7000,9.99,95829,9.93,15600,10.0,236763,9.92,15000,10.01,55560,9.91,31400,10.02,38717,9.9,97300,10.03,96500,9.89,44200,10.04,85160,9.88,30600,10.05,342440,9.87,45200,10.06,51556
1,34202000,9.95,110800,9.97,44209,9.94,7000,9.98,96420,9.93,24300,9.99,186779,9.92,120900,10.0,153463,9.91,57700,10.01,62560,9.9,109700,10.02,40217,9.89,48200,10.03,96800,9.88,36100,10.04,93460,9.87,49600,10.05,347890,9.86,38200,10.06,54256
2,34204000,9.95,110800,9.97,35209,9.94,7000,9.98,96420,9.93,24300,9.99,186779,9.92,120900,10.0,153463,9.91,57700,10.01,62560,9.9,109700,10.02,38217,9.89,48200,10.03,96800,9.88,36100,10.04,93460,9.87,49600,10.05,347890,9.86,38200,10.06,54256
3,34209000,9.95,110800,9.97,35509,9.94,7000,9.98,96420,9.93,24300,9.99,189779,9.92,120900,10.0,153463,9.91,57700,10.01,62560,9.9,109700,10.02,38217,9.89,48200,10.03,96800,9.88,36100,10.04,93460,9.87,49700,10.05,347890,9.86,38200,10.06,54256
4,34212000,9.95,110800,9.96,1500,9.94,7000,9.97,35409,9.93,29300,9.98,96420,9.92,120900,9.99,189779,9.91,57700,10.0,153463,9.9,109700,10.01,63560,9.89,48200,10.02,38217,9.88,36100,10.03,96800,9.87,49700,10.04,93460,9.86,38200,10.05,347890
5,34214000,9.95,110100,9.96,3900,9.94,7000,9.97,35409,9.93,29300,9.98,96020,9.92,120900,9.99,189779,9.91,57700,10.0,153463,9.9,110200,10.01,66560,9.89,48200,10.02,38217,9.88,36600,10.03,96800,9.87,49700,10.04,93460,9.86,38200,10.05,347890
6,34218000,9.95,110100,9.96,28400,9.94,7000,9.97,40809,9.93,25300,9.98,96020,9.92,120900,9.99,189779,9.91,57700,10.0,153463,9.9,110200,10.01,67760,9.89,48200,10.02,38217,9.88,36600,10.03,96800,9.87,49700,10.04,93460,9.86,38200,10.05,347890
7,34220000,9.95,102400,9.96,5600,9.94,7000,9.97,40809,9.93,25300,9.98,96020,9.92,120900,9.99,189779,9.91,57700,10.0,153463,9.9,110200,10.01,67760,9.89,48200,10.02,38217,9.88,36600,10.03,96800,9.87,49700,10.04,93460,9.86,38200,10.05,347890
8,34223000,9.95,102100,9.96,8000,9.94,7000,9.97,40509,9.93,25300,9.98,96020,9.92,120900,9.99,189779,9.91,57700,10.0,153763,9.9,110200,10.01,67760,9.89,48200,10.02,38217,9.88,36600,10.03,96800,9.87,49700,10.04,93460,9.86,38200,10.05,347890
9,34227000,9.95,100500,9.96,8500,9.94,7000,9.97,45509,9.93,25300,9.98,96020,9.92,125900,9.99,189879,9.91,57700,10.0,153763,9.9,111200,10.01,67760,9.89,48200,10.02,38217,9.88,36600,10.03,96800,9.87,49700,10.04,93460,9.86,38200,10.05,348190
