,time,price,size
0,34200150,9.96,1000
1,34200150,9.96,200
2,34200150,9.96,200
3,34200150,9.96,1100
4,34200160,9.96,5000
5,34200180,9.97,100
6,34200190,9.97,3000
7,34200250,9.96,2000
8,34200310,9.97,12300
9,34200330,9.96,800
10,34200360,9.97,5000
11,34200580,9.96,10
12,34200610,9.96,2190
13,34200610,9.96,1000
14,34200610,9.96,500
15,34200620,9.96,300
16,34200620,9.96,1000
17,34200630,9.96,2000
18,34200800,9.96,100
19,34200870,9.95,200
20,34200870,9.95,1000
21,34200870,9.95,100
22,34200930,9.96,2100
23,34200930,9.96,900
24,34200990,9.96,300
25,34200990,9.96,100
26,34201020,9.96,600
27,34201070,9.96,2000
28,34201070,9.96,600
29,34201120,9.96,5000
30,34201190,9.96,16300
31,34201190,9.96,1000
32,34201240,9.96,5000
33,34201310,9.96,400
34,34201310,9.96,200
35,34201330,9.96,1000
36,34201430,9.96,100
37,34201430,9.96,300
38,34201440,9.96,7010
39,34201440,9.96,6790
40,34201490,9.96,900
41,34201560,9.96,2310
42,34201560,9.96,690
43,34201580,9.95,1700
44,34201580,9.95,1100
45,34201580,9.95,900
46,34201580,9.95,100
47,34201640,9.96,810
48,34201640,9.96,300
49,34201640,9.96,790
50,34201640,9.96,6210
51,34201640,9.96,50000
52,34201640,9.96,100
53,34201640,9.96,3000
54,34201640,9.96,1000
55,34201640,9.97,23099
56,34201640,9.97,600
57,34201640,9.97,15991
58,34201640,9.97,3000
59,34201840,9.95,5900
60,34201840,9.95,400
61,34201890,9.97,20000
62,34202040,9.96,800
63,34202360,9.95,2300
64,34202480,9.97,9000
65,34211110,9.97,100
66,34216000,9.96,700
67,34218730,9.96,800
68,34218730,9.96,1400
69,34218730,9.96,1000
70,34218730,9.96,19600
71,34219690,9.95,3300
72,34219690,9.95,2500
73,34219690,9.95,1900
74,34222570,9.96,1000
75,34223020,9.95,100
76,34223020,9.95,100
77,34223410,9.95,100
78,34224900,9.95,800
79,34224900,9.95,800
80,34228130,9.95,4000
81,34229470,9.96,900
82,34233660,9.96,2000
83,34239650,9.95,2000
84,34239980,9.96,1700
85,34239980,9.96,800
86,34244520,9.96,300
87,34246470,9.96,1900
88,34246470,9.96,400
89,34246470,9.96,500
90,34246470,9.96,200
91,34247420,9.95,100
92,34248010,9.95,3600
93,34248250,9.96,800
94,34249940,9.95,200
95,34250050,9.96,100
96,34256140,9.96,200
97,34256140,9.96,600
98,34256160,9.96,200
99,34256160,9.95,200
100,34261730,9.96,9000
101,34262120,9.95,4100
102,34266970,9.96,1000
103,34270250,9.96,5000
104,34271220,9.96,1000
105,34271410,9.96,4100
106,34274460,9.95,2900
107,34277970,9.96,100
108,34278560,9.96,29800
109,34278560,9.96,2000
110,34282200,9.96,15000
111,34283150,9.96,3720
112,34284740,9.96,1600
113,34292460,9.96,500
114,34295360,9.96,10
115,34297340,9.97,800
116,34299950,9.96,300
117,34300910,9.96,3720
118,34302750,9.96,500
119,34303860,9.96,3000
120,34304070,9.96,200
121,34304710,9.97,200
122,34306250,9.96,600
123,34307130,9.96,900
124,34308240,9.97,100
125,34311660,9.97,809
126,34311660,9.97,691
127,34312950,9.96,400
128,34313580,9.96,1000
129,34319120,9.96,600
130,34320520,9.96,13000
131,34321730,9.97,9000
132,34321920,9.97,200
133,34323930,9.97,1000
134,34324280,9.96,100
